time,x,y,qx,qy,qz,qw
214.324648518,94.49864818951443,-84.18209204393354,-0.0001323586565072996,-1.4342119051904984e-05,0.999962525820374,0.008656167190362
214.34482657400002,94.47423982322542,-84.18351075817037,-0.00013235856061456362,-1.4341825129118876e-05,0.9999599404602697,0.00894984637954112
214.36403202900001,94.4498306278451,-84.18491513514559,-0.0001323581980619112,-1.4341532243733418e-05,0.9999572688506622,0.009243524671480416
214.38437807100001,94.42542061179546,-84.18630517437326,-0.00013235768268552624,-1.434123942182685e-05,0.9999545109883456,0.009537202411145543
214.404214534,94.40100978349915,-84.18768087536793,-0.00013235739182890373,-1.4340943046522664e-05,0.9999516668741315,0.00983087948782285
214.424518347,94.37659815137792,-84.18904223765561,-0.00013235726548571622,-1.4340643626738086e-05,0.9999487365120112,0.010124555493071724
214.444670293,94.35218572385328,-84.19038926077268,-0.0001323569175312894,-1.4340345078256288e-05,0.99994571990217,0.010418230431879446
214.464282454,94.32777250934807,-84.19172194425477,-0.0001323563525234261,-1.4340047435387907e-05,0.9999426170408912,0.010711904665972374
214.48538682400002,94.3033585162861,-84.19304028763625,-0.00013235595649022122,-1.4339746568196769e-05,0.9999394279279471,0.01100557819481763
214.50555818700002,94.27894375309047,-84.19434429046113,-0.00013235577923835867,-1.433944184765586e-05,0.9999361525677406,0.011299250610203463
214.52689499500002,94.25452822818372,-84.19563395228538,-0.00013235544197315292,-1.4339137537535707e-05,0.9999327909616574,0.011592921808437181
214.548785304,94.23011194998952,-84.19690927266605,-0.00013235484176636828,-1.433883490986532e-05,0.99992934310579,0.011886592136396623
214.56794020400002,94.2056949269328,-84.1981702511577,-0.0001323543435713319,-1.4338529654141562e-05,0.9999258089986768,0.01218026169982402
214.588165158,94.1812771674379,-84.19941688732251,-0.00013235410257072283,-1.4338219805237826e-05,0.9999221886447908,0.012473930119185048
214.610314084,94.15685867992849,-84.20064918073567,-0.00013235377577674648,-1.4337909603262816e-05,0.9999184820468972,0.012767597187075727
214.629000061,94.1324394728289,-84.20186713097551,-0.00013235315879338178,-1.4337601727268053e-05,0.9999146892013028,0.013061263206007792
214.650058274,94.10801955456503,-84.20307073761731,-0.00013235256484405632,-1.4337292134233223e-05,0.9999108101051946,0.013354928379225734
214.669166326,94.08359893356254,-84.20426000024169,-0.0001323522421954903,-1.4336977446096196e-05,0.9999068447626518,0.013648592386503558
214.691092112,94.0591776182461,-84.20543491844244,-0.00013235191279283387,-1.4336661401278218e-05,0.9999027931778259,0.013942254932867361
214.711219204,94.0347556170409,-84.20659549181903,-0.0001323512894000059,-1.4336348059240017e-05,0.9998986553476914,0.014235916250235346
214.73095097700002,94.01033293837357,-84.20774171996764,-0.00013235061008056546,-1.4336034095434554e-05,0.999894431268147,0.014529576619533233
214.751307857,93.98590959067094,-84.20887360248767,-0.00013235019647251937,-1.433571479094574e-05,0.9998901209424437,0.014823235801205833
214.771097539,93.96148558235889,-84.20999113899128,-0.00013234985630383681,-1.4335392924791949e-05,0.9998857243760216,0.015116893432539838
214.79219308,93.93706092186319,-84.21109432909863,-0.00013234924027958044,-1.4335073812696036e-05,0.9998812415669918,0.015410549653905863
214.813969573,93.91263561761127,-84.21218317242732,-0.00013234849039036272,-1.4334755342500444e-05,0.9998766725101508,0.0157042048006417
214.83461393500002,93.88820967803106,-84.2132576685959,-0.00013234797537517583,-1.433443169877019e-05,0.9998720172074471,0.01599785873322218
214.856841988,93.86378311154947,-84.21431781723473,-0.00013234760529290835,-1.4334104241123234e-05,0.9998672756652991,0.01629151105017016
214.877135689,93.83935592659313,-84.21536361798407,-0.00013234699893675372,-1.4333779193789282e-05,0.9998624478833527,0.016585161787703678
214.896730775,93.81492813159001,-84.21639507048296,-0.00013234619285520211,-1.4333456031993523e-05,0.9998575338556709,0.01687881130569806
214.917627471,93.79049973496905,-84.2174121743696,-0.00013234557417007658,-1.4333128219294624e-05,0.9998525335825624,0.017172459571693128
214.937048639,93.76607074515827,-84.21841492929242,-0.00013234516161396016,-1.4332795352205763e-05,0.9998474470710347,0.017466106173482165
214.95772889800003,93.7416411705851,-84.21940333491153,-0.0001323445705459953,-1.4332464139522913e-05,0.9998422743226002,0.017759751037247248
214.97920183000002,93.717211019678,-84.22037739088744,-0.00013234372702730358,-1.4332135974744845e-05,0.9998370153310653,0.018053394517237035
214.998237101,93.6927803008668,-84.22133709687847,-0.00013234300445716854,-1.4331804137444169e-05,0.9998316700948228,0.018347036690591102
215.02000007900003,93.6683490225805,-84.2222824525512,-0.0001323425292848151,-1.4331466230376897e-05,0.9998262386208912,0.018640677167555304
215.040481043,93.64391719324736,-84.22321345758492,-0.00013234194612503085,-1.4331128846878524e-05,0.9998207209127907,0.018934315769400013
215.060659968,93.61948482129641,-84.22413011166157,-0.0001323410787030259,-1.433079539771536e-05,0.9998151169646572,0.019227952813968104
215.083228783,93.5950519151581,-84.22503241445997,-0.00013234025814627004,-1.4330459557646955e-05,0.9998094267729175,0.019521588477996732
215.10272532300002,93.57061848326259,-84.22592036566519,-0.00013233970825041495,-1.4330116890508811e-05,0.9998036503440317,0.01981522242112394
215.124214284,93.54618453403894,-84.22679396497519,-0.00013233912966516327,-1.4329773276737726e-05,0.9997977876835485,0.020108854370508175
215.145437466,93.52175007591661,-84.2276532120931,-0.0001323382556303339,-1.4329434140558411e-05,0.9997918387865595,0.020402484580160505
215.165428627,93.49731511732661,-84.22849810671885,-0.00013233734687674136,-1.4329094222042169e-05,0.9997858036476057,0.020696113311806166
215.18704783400003,93.47287966670011,-84.22932864855595,-0.0001323367065425678,-1.4328747195908879e-05,0.999779682271919,0.02098974030196303
215.20834511500001,93.44844373246694,-84.23014483732103,-0.0001323361167635262,-1.4328397568483889e-05,0.9997734746668318,0.021283365205222303
215.22720789200002,93.42400732305713,-84.23094667273784,-0.00013233524390374927,-1.4328052483103152e-05,0.9997671808289936,0.021576988189653472
215.248061717,93.39957044690217,-84.23173415452757,-0.00013233425924150168,-1.4327708316808923e-05,0.9997608007513912,0.021870609577639862
215.268562679,93.37513311243403,-84.23250728241283,-0.00013233352137920958,-1.4327357194498257e-05,0.9997543344374963,0.022164229199431357
215.288593515,93.35069532808346,-84.23326605612841,-0.00013233291015341727,-1.4327001702168058e-05,0.9997477818960632,0.022457846660786363
215.310023445,93.32625710228089,-84.23401047541854,-0.00013233204960872558,-1.4326650304245308e-05,0.9997411431258465,0.022751462027773926
215.329377587,93.30181844345823,-84.2347405400258,-0.00013233100586715427,-1.4326301576584648e-05,0.9997344181187529,0.02304507565664676
215.350501021,93.27737936004817,-84.23545624969239,-0.00013233016354149542,-1.4325946645754304e-05,0.9997276068759774,0.023338687485084608
215.36994744700002,93.25293986048234,-84.23615760417124,-0.0001323295107241477,-1.4325585708251969e-05,0.9997207094070719,0.023632297101621656
215.39154409100001,93.22849995319174,-84.23684460322633,-0.00013232866134550172,-1.4325227886708027e-05,0.9997137257132653,0.02392590446388903
215.412946099,93.2040596466085,-84.23751724662176,-0.0001323275731944766,-1.4324874272543182e-05,0.9997066557860508,0.024219509930673486
215.43369405500002,93.17961894916598,-84.23817553411972,-0.00013232662710494755,-1.4324515654677446e-05,0.9996994996240887,0.02451311354803019
215.454893943,93.15517786929666,-84.23881946549123,-0.00013232591974036905,-1.4324149583778536e-05,0.9996922572370681,0.024806714916031362
215.47626585400002,93.13073641543205,-84.23944904051973,-0.00013232508388243266,-1.4323785145520696e-05,0.9996849286289268,0.025100313884075097
215.496624547,93.10629459600453,-84.2400642589908,-0.00013232397016976462,-1.4323426165296467e-05,0.9996775137914937,0.025393910783185147
215.518616927,93.08185241944793,-84.24066512068705,-0.00013232292386932052,-1.432306390988326e-05,0.9996700127207591,0.02568750576391553
215.5378656,93.05740989419552,-84.24125162539784,-0.00013232214279414823,-1.432269322654243e-05,0.9996624254257022,0.025981098470112735
